BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
FOUNDING FATHERS,"RESTAURANT,BAR",8:00 PM,TUESDAY,,SOUTH STREET,1612 SOUTH ST,,PHILADELPHIA,PA,19146,,,,,,,JOHNNY GOODTIMES,QUIZZO,"1612 SOUTH ST, PHILADELPHIA, PA, 19146",39.9440071,-75.1690906
LASCALA'S BIRRA,"RESTAURANT,BAR",8:00 PM,THURSDAY,,PASSYUNK,1700 E PASSYUNK AVE,,PHILADELPHIA,PA,19148,,,,,,,JOHNNY GOODTIMES,QUIZZO,"1700 E PASSYUNK AVE, PHILADELPHIA, PA, 19148",39.9286303,-75.165139
DELI AT DWELL,"RESTAURANT,BAR",7:00 PM,THURSDAY,,FISHTOWN,1301 N AMERICAN ST,,PHILADELPHIA,PA,19122,,,,,,,JOHNNY GOODTIMES,QUIZZO,"1301 N AMERICAN ST, PHILADELPHIA, PA, 19122",39.971168,-75.13998
UNION TAP HOUSE,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,MANAYUNK,4801 UMBRIA ST,,PHILADELPHIA,PA,19127,CASH,50.0,,,,,JUSTIN CREDIBLE,QUIZZO,"4801 UMBRIA ST, PHILADELPHIA, PA, 19127",40.0326041,-75.232367
MAGGIE'S WATERFRONT CAFE,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,TORRESDALE,9242 DELAWARE AVE,,PHILADELPHIA,PA,19114,,,,,,,KATIE DAVIS,QUIZZO,"9242 DELAWARE AVE, PHILADELPHIA, PA, 19114",40.0436656,-74.9896264
MISCONDUCT TAVERN UNIVERSITY CITY,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,UNIVERSITY CITY,3131 WALNUT ST,,PHILADELPHIA,PA,19104,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"3131 WALNUT ST, PHILADELPHIA, PA, 19104",39.9523255,-75.186976
MISCONDUCT TAVERN RITTENHOUSE,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,RITTENHOUSE SQUARE,1511 LOCUST ST,,PHILADELPHIA,PA,19102,GIFT_CARD,100.0,,,,,LUNCH MONEY QUIZZO,QUIZZO,"1511 LOCUST ST, PHILADELPHIA, PA, 19102",39.9486784,-75.1665675
BARSTOOL SANSOM STREET,"RESTAURANT,BAR",7:00 PM,TUESDAY,,CENTER CITY,1213 SANSOM ST,,PHILADELPHIA,PA,19107,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"1213 SANSOM ST, PHILADELPHIA, PA, 19107",39.9497592,-75.1606674
MISCONDUCT TAVERN JFK,"RESTAURANT,BAR",7:00 PM,TUESDAY,,CENTER CITY,1801 JOHN F KENNEDY BLVD,,PHILADELPHIA,PA,19103,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"1801 JOHN F KENNEDY BLVD, PHILADELPHIA, PA, 19103",39.954295,-75.169931
SIDE BAR,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,10 EAST GAY STREET,,WEST CHESTER,PA,19380,,,,,,,MIKE ARGY,QUIZZO,"10 EAST GAY STREET, WEST CHESTER, PA, 19380",39.960555,-75.6047278
