BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
MONSTER VEGAN,"RESTAURANT,BAR,VEGAN","FIRST_OF_MONTH,THIRD_OF_MONTH",CENTER CITY,1229 SPRUCE ST,,PHILADELPHIA,PA,19107.0,"1229 SPRUCE ST, PHILADELPHIA, PA, 19107",39.9467829,-75.1622275,7:00 PM,TUESDAY,,,,,,,SAM WE ARE PODCAST,QUIZZO
MOONSHINE PHILLY,"RESTAURANT,BAR",,PENNSPORT,1825 E MOYAMENSING AVE,,PHILADELPHIA,PA,19148.0,"1825 E MOYAMENSING AVE, PHILADELPHIA, PA, 19148",39.9250242,-75.1516341,8:00 PM,TUESDAY,,,,,,,,QUIZZO
MOUNT AIRY TAP ROOM,"RESTAURANT,BAR",,MOUNT AIRY,300 W MT PLEASANT AVE,,PHILADELPHIA,PA,19119.0,"300 W MT PLEASANT AVE, PHILADELPHIA, PA, 19119",40.0539139,-75.194211,8:00 PM,TUESDAY,GIFT_CARD,GC: $50,GIFT_CARD, $30,,,,QUIZZO
NAKED BREWING COMPANY,BREWERY,,,212 MILL ST,,BRISTOL BOROUGH,PA,19007.0,"212 MILL ST, BRISTOL BOROUGH, PA, 19007",40.0951389,-74.8574916,7:00 PM,TUESDAY,,,,,,,,QUIZZO
NATIONAL MECHANICS,"RESTAURANT,BAR",,OLD CITY,22 S 3RD STREET,,PHILADELPHIA,PA,19106.0,"22 S 3RD STREET, PHILADELPHIA, PA, 19106",39.9495672,-75.1461515,8:00 PM,WEDNESDAY,,,,,,,THE PHILLY QUIZZO,QUIZZO
NEW DECK TAVERN,"RESTAURANT,BAR,IRISH_PUB",,UNIVERSITY CITY,3408 SANSOM ST,,PHILADELPHIA,PA,19104.0,"3408 SANSOM ST, PHILADELPHIA, PA, 19104",39.9534633,-75.1925739,8:00 PM,WEDNESDAY,,,,,,,,QUIZZO
NEW WAVE CAFE,"RESTAURANT,BAR",,BELLA VISTA,784 S 3RD ST,,PHILADELPHIA,PA,19147.0,"784 S 3RD ST, PHILADELPHIA, PA, 19147",39.9381255,-75.148436,8:00 PM,MONDAY,GIFT_CARD,$50,CASH, $25,,,JAWNYQ,QUIZZO
NICK'S ROAST BEEF WOODHAVEN,RESTAURANT,,PARKWOOD,4501 WOODHAVEN RD,,PHILADELPHIA,PA,19154.0,"4501 WOODHAVEN RD, PHILADELPHIA, PA, 19154",40.0964963,-74.9833713,8:00 PM,THURSDAY,,,,,,,,QUIZZO
NITTY'S TAVERN,"RESTAURANT,BAR",,PASSYUNK,1720 W MOYAMENSING AVE,,PHILADELPHIA,PA,19145.0,"1720 W MOYAMENSING AVE, PHILADELPHIA, PA, 19145",39.9149475,-75.1767931,7:00 PM,WEDNESDAY,,,,,,,,QUIZZO
NUT HUT SALOON,,,FISHTOWN,1873 Frankford Ave,,,PA,19125.0,"1873 Frankford Ave, Philadelphia, PA 19125",39.97842156989657,-75.13035850004994,8:00 PM,,,,,,,,,
